1,FrontLeftRotationalSpeed,RPM
2,FrontRightRotation,RPM
3,RearLeftRotationalSpeed,RPM
4,RearRightRotationalSpeed,RPM
5,FrontLeftCurrent,A
6,FrontRightCurrent,A
7,RearLeftCurrent,A
8,RearRightCurrent,A
9,JumpingRotation,RPM
10,JumpingCurrent,A
11,LeftRockerAngle,deg
12,RightRockerAngle,deg
13,XAcceleration,m/s^2
14,YAcceleration,m/s^2
15,ZAcceleration,m/s^2
16,YawRate,rad/s
17,PitchRate,rad/s
18,RollRate,rad/s
19,RearTemperature,degC
20,FrontTemperature,degC
21,FrontTimeOfFlight,cm
22,RearTimeOfFlight,cm
